,Ticker,HeadlineID,Headline,Timestamp,Source
0,SPY,ddd18b67,"Why Is SPY ETF Up Today, 3/9/2026?",2026-03-09 21:53:15,TipRanks
0,SPY,9862bcfb,Stocks Rally After Trump Signals Iran War May End Sooner Than Expected,2026-03-10 01:51:11,Benzinga
1,SPY,b84e7b78,"Stock Market Today Review: SPY, QQQ Shake Off Surging Oil Prices and Inflation Concerns",2026-03-10 01:51:11,TipRanks
0,SPY,6457c38a,"Stock Market Today Review: SPY, QQQ Edge Lower as the IEA’s Historic Oil Release Fails to Ease Energy Prices",2026-03-11 20:51:11,TipRanks
1,SPY,ba881e63,"Is It Safe to Invest in S&P 500 Funds Right Now, or Are You Better Off Waiting for More of a Decline?",2026-03-11 16:51:11,The Motley Fool
2,SPY,fbd48db5,"Stock Market Live March 11, 2026: S&P 500 (SPY) Flat as Oil Prices Spike Again",2026-03-11 14:51:11,24/7 Wall St.
3,SPY,9f93b9ce,"Stock Market Today Review: SPY, QQQ Erase Gains as Iran Deploys Mines in Hormuz; Oil Tumbles 8%",2026-03-11 01:51:11,TipRanks
0,TSLA,533dceea,QOTD: Are You A Satisfied EV Owner?,2026-03-09 22:52:31,thetruthaboutcars.com
1,TSLA,f2bab3c2,"Burford Capital (BUR) FQ4 2025 Earnings, Here’s What You Should Know",2026-03-09 20:31:00,Insider Monkey
2,TSLA,d6060b48,Tesla Finance VP Exits in Latest Departure for Musk’s EV Maker,2026-03-09 19:37:00,Bloomberg.com
3,TSLA,9c742b38,General Motors Co Stock (GM) Moved Down by 3.12% on Mar 9: What Investors Need To Know,2026-03-09 18:50:20,TradingKey
4,TSLA,6ca46f90,Tesla Loses Director Behind Robotaxi Backend: What Do Prediction Markets Say?,2026-03-09 18:15:00,Benzinga
5,TSLA,0d2ad470,Lucid (LCID) and Rivian (RIVN) Stocks Jump as Oil Rises but Tesla (TSLA) Stock Lags,2026-03-09 18:02:20,24/7 Wall St.
6,TSLA,8cc7e82d,"Tesla's FSD Safety Metrics 'Sharply Deteriorating,' Says Analyst",2026-03-09 17:51:14,Benzinga
7,TSLA,9913fa4d,EXL Australia and New Zealand Announces “AI in Action”,2026-03-09 17:00:00,GlobeNewswire
8,TSLA,794b867e,Expanding Into Value,2026-03-09 15:49:51,BNY
9,TSLA,65cc9bfc,5 Companies Quietly Eating Tesla’s Lunch in 2026 — and One Is Already Winning,2026-03-09 14:51:07,24/7 Wall St.
10,TSLA,728b1b54,"GMP, Power Guru team up to introduce Enphase Energy to Vermont",2026-03-09 14:50:08,Brattleboro Reformer
11,TSLA,042d67f2,ASGN completes acquisition of IT services firm Quinnox,2026-03-09 13:52:09,Investing.com
12,TSLA,3620b95b,Corpus Christi law firm sues Tesla over assault tied to Austin mass shooter,2026-03-09 13:51:15,kiiitv.com
13,TSLA,a8df4c66,Jim Cramer on Brand Engagement Network: “It Would Not Be My Cup of Tea”,2026-03-09 13:28:00,Insider Monkey
14,TSLA,9b250f54,Sociedad Química y Minera de Chile (SQM) Is Down 7.7% After Return To Profitability And Codelco Lithium Deal,2026-03-09 11:52:35,Simply Wall St
15,TSLA,19471179,"Qualcomm, Tata Electronics to manufacture automotive modules",2026-03-09 08:59:50,Evertiq
16,TSLA,0dc6e2b5,"Baird Sees Strong Earnings Potential, Upgrades RPM to Outperform",2026-03-09 08:52:04,Insider Monkey
17,TSLA,654aab7e,"YieldMax® ETFs Announces Distributions on MSST, NVIT, and TEST",2026-03-09 06:55:00,markets.businessinsider.com
18,TSLA,7bca6fa8,Prospecting: Ford’s U.S. Sales Drop 5.5% In February As EV Volume Plunges.,2026-03-09 06:25:23,Insideradio.com
19,TSLA,1d33a79c,INDZ ETF Stock Price History,2026-03-09 03:51:53,Investing.com
0,TSLA,eb45a061,Bank Hapoalim Initiates $14.7 Million Position in First Trust Capital Strength ETF,2026-03-10 23:51:22,The Motley Fool
